city,total_pincodes,amazon_now,flipkart_minutes,zepto,blinkit,amazon_fresh
Pune,145,1,9,29,42,53
Kochi,143,0,0,33,0,46
Thiruvananthapuram,133,0,0,0,0,37
Bengaluru,117,84,9,78,82,91
Coimbatore,107,0,19,30,0,0
Delhi,97,4,47,63,75,91
Mumbai,89,10,17,81,79,85
Jaipur,84,0,20,20,0,20
Chennai,83,32,42,53,6,79
Ahmedabad,81,1,17,25,0,45
Surat,79,0,2,11,2,18
Nashik,77,0,9,6,12,0
Kolkata,74,0,11,44,51,73
Bhubaneswar,69,0,0,0,0,15
Mysuru,68,0,5,29,31,27
Nagpur,63,0,0,21,15,0
Vadodara,61,0,0,4,4,25
Hyderabad,60,0,16,35,0,55
Vijayawada,59,0,3,5,0,17
Lucknow,43,0,16,27,0,31
Visakhapatnam,41,0,3,0,0,28
Indore,30,0,0,12,10,15
Gurugram,29,0,13,18,21,18
Noida,28,0,3,3,3,12
Chandigarh,25,0,15,18,21,0
