State,SKU,Availability,Listed Pins,Amazon Now Pins in State
Chandigarh,Jivo Extra Light Olive Oil 1L,8/8 pincodes,8,8
Chandigarh,Jivo Canola Cold Press Edible Oil 1L,8/8 pincodes,8,8
Chandigarh,Jivo Pomace Olive Oil 1L,8/8 pincodes,8,8
Delhi,Jivo Extra Light Olive Oil 1L,52/54 pincodes,52,54
Delhi,Jivo Canola Cold Press Edible Oil 1L,54/54 pincodes,54,54
Delhi,Jivo Pomace Olive Oil 1L,54/54 pincodes,54,54
Gujarat,Jivo Extra Light Olive Oil 1L,2/2 pincodes,2,2
Gujarat,Jivo Canola Cold Press Edible Oil 1L,2/2 pincodes,2,2
Gujarat,Jivo Pomace Olive Oil 1L,2/2 pincodes,2,2
Haryana,Jivo Extra Light Olive Oil 1L,16/17 pincodes,16,17
Haryana,Jivo Canola Cold Press Edible Oil 1L,17/17 pincodes,17,17
Haryana,Jivo Pomace Olive Oil 1L,16/17 pincodes,16,17
Karnataka,Jivo Extra Light Olive Oil 1L,21/25 pincodes,21,25
Karnataka,Jivo Canola Cold Press Edible Oil 1L,12/25 pincodes,12,25
Karnataka,Jivo Pomace Olive Oil 1L,20/25 pincodes,20,25
Madhya Pradesh,Jivo Extra Light Olive Oil 1L,0/2 pincodes,0,2
Madhya Pradesh,Jivo Canola Cold Press Edible Oil 1L,1/2 pincodes,1,2
Madhya Pradesh,Jivo Pomace Olive Oil 1L,0/2 pincodes,0,2
Maharashtra,Jivo Extra Light Olive Oil 1L,57/60 pincodes,57,60
Maharashtra,Jivo Canola Cold Press Edible Oil 1L,53/60 pincodes,53,60
Maharashtra,Jivo Pomace Olive Oil 1L,54/60 pincodes,54,60
Punjab,Jivo Extra Light Olive Oil 1L,46/46 pincodes,46,46
Punjab,Jivo Canola Cold Press Edible Oil 1L,46/46 pincodes,46,46
Punjab,Jivo Pomace Olive Oil 1L,0/46 pincodes,0,46
Rajasthan,Jivo Extra Light Olive Oil 1L,32/33 pincodes,32,33
Rajasthan,Jivo Canola Cold Press Edible Oil 1L,33/33 pincodes,33,33
Rajasthan,Jivo Pomace Olive Oil 1L,32/33 pincodes,32,33
Tamil Nadu,Jivo Extra Light Olive Oil 1L,0/10 pincodes,0,10
Tamil Nadu,Jivo Canola Cold Press Edible Oil 1L,0/10 pincodes,0,10
Tamil Nadu,Jivo Pomace Olive Oil 1L,0/10 pincodes,0,10
Telangana,Jivo Extra Light Olive Oil 1L,16/17 pincodes,16,17
Telangana,Jivo Canola Cold Press Edible Oil 1L,0/17 pincodes,0,17
Telangana,Jivo Pomace Olive Oil 1L,0/17 pincodes,0,17
Uttar Pradesh,Jivo Extra Light Olive Oil 1L,14/14 pincodes,14,14
Uttar Pradesh,Jivo Canola Cold Press Edible Oil 1L,14/14 pincodes,14,14
Uttar Pradesh,Jivo Pomace Olive Oil 1L,14/14 pincodes,14,14
West Bengal,Jivo Extra Light Olive Oil 1L,11/15 pincodes,11,15
West Bengal,Jivo Canola Cold Press Edible Oil 1L,9/15 pincodes,9,15
West Bengal,Jivo Pomace Olive Oil 1L,6/15 pincodes,6,15
