State,SKU,Availability
Chandigarh,Jivo Extra Light Olive Oil 1L,8/8 pincodes
Chandigarh,Jivo Canola Cold Press Edible Oil 1L,8/8 pincodes
Chandigarh,Jivo Pomace Olive Oil 1L,8/8 pincodes
Delhi,Jivo Extra Light Olive Oil 1L,52/54 pincodes
Delhi,Jivo Canola Cold Press Edible Oil 1L,54/54 pincodes
Delhi,Jivo Pomace Olive Oil 1L,54/54 pincodes
Gujarat,Jivo Extra Light Olive Oil 1L,2/2 pincodes
Gujarat,Jivo Canola Cold Press Edible Oil 1L,2/2 pincodes
Gujarat,Jivo Pomace Olive Oil 1L,2/2 pincodes
Haryana,Jivo Extra Light Olive Oil 1L,16/17 pincodes
Haryana,Jivo Canola Cold Press Edible Oil 1L,17/17 pincodes
Haryana,Jivo Pomace Olive Oil 1L,16/17 pincodes
Karnataka,Jivo Extra Light Olive Oil 1L,21/25 pincodes
Karnataka,Jivo Canola Cold Press Edible Oil 1L,12/25 pincodes
Karnataka,Jivo Pomace Olive Oil 1L,20/25 pincodes
Madhya Pradesh,Jivo Extra Light Olive Oil 1L,0/2 pincodes
Madhya Pradesh,Jivo Canola Cold Press Edible Oil 1L,1/2 pincodes
Madhya Pradesh,Jivo Pomace Olive Oil 1L,0/2 pincodes
Maharashtra,Jivo Extra Light Olive Oil 1L,57/60 pincodes
Maharashtra,Jivo Canola Cold Press Edible Oil 1L,53/60 pincodes
Maharashtra,Jivo Pomace Olive Oil 1L,54/60 pincodes
Punjab,Jivo Extra Light Olive Oil 1L,46/46 pincodes
Punjab,Jivo Canola Cold Press Edible Oil 1L,46/46 pincodes
Punjab,Jivo Pomace Olive Oil 1L,0/46 pincodes
Rajasthan,Jivo Extra Light Olive Oil 1L,32/33 pincodes
Rajasthan,Jivo Canola Cold Press Edible Oil 1L,33/33 pincodes
Rajasthan,Jivo Pomace Olive Oil 1L,32/33 pincodes
Tamil Nadu,Jivo Extra Light Olive Oil 1L,0/10 pincodes
Tamil Nadu,Jivo Canola Cold Press Edible Oil 1L,0/10 pincodes
Tamil Nadu,Jivo Pomace Olive Oil 1L,0/10 pincodes
Telangana,Jivo Extra Light Olive Oil 1L,16/17 pincodes
Telangana,Jivo Canola Cold Press Edible Oil 1L,0/17 pincodes
Telangana,Jivo Pomace Olive Oil 1L,0/17 pincodes
Uttar Pradesh,Jivo Extra Light Olive Oil 1L,14/14 pincodes
Uttar Pradesh,Jivo Canola Cold Press Edible Oil 1L,14/14 pincodes
Uttar Pradesh,Jivo Pomace Olive Oil 1L,14/14 pincodes
West Bengal,Jivo Extra Light Olive Oil 1L,11/15 pincodes
West Bengal,Jivo Canola Cold Press Edible Oil 1L,9/15 pincodes
West Bengal,Jivo Pomace Olive Oil 1L,6/15 pincodes
