State,SKU,Available Pincodes,Total Blinkit Pincodes,Availability %,Availability
Andhra Pradesh,Jivo Extra Light Olive Oil 1L,0,38,0%,0/38 pincodes
Andhra Pradesh,Jivo Canola Cold Pressed Edible Oil 1L,0,38,0%,0/38 pincodes
Andhra Pradesh,Jivo Pomace Olive Oil 1L,0,38,0%,0/38 pincodes
Chandigarh,Jivo Extra Light Olive Oil 1L,15,21,71.4%,15/21 pincodes
Chandigarh,Jivo Canola Cold Pressed Edible Oil 1L,20,21,95.2%,20/21 pincodes
Chandigarh,Jivo Pomace Olive Oil 1L,21,21,100%,21/21 pincodes
Delhi,Jivo Extra Light Olive Oil 1L,82,88,93.2%,82/88 pincodes
Delhi,Jivo Canola Cold Pressed Edible Oil 1L,85,88,96.6%,85/88 pincodes
Delhi,Jivo Pomace Olive Oil 1L,85,88,96.6%,85/88 pincodes
Gujarat,Jivo Extra Light Olive Oil 1L,1,76,1.3%,1/76 pincodes
Gujarat,Jivo Canola Cold Pressed Edible Oil 1L,1,76,1.3%,1/76 pincodes
Gujarat,Jivo Pomace Olive Oil 1L,1,76,1.3%,1/76 pincodes
Haryana,Jivo Extra Light Olive Oil 1L,21,28,75%,21/28 pincodes
Haryana,Jivo Canola Cold Pressed Edible Oil 1L,21,28,75%,21/28 pincodes
Haryana,Jivo Pomace Olive Oil 1L,21,28,75%,21/28 pincodes
Karnataka,Jivo Extra Light Olive Oil 1L,93,122,76.2%,93/122 pincodes
Karnataka,Jivo Canola Cold Pressed Edible Oil 1L,104,122,85.2%,104/122 pincodes
Karnataka,Jivo Pomace Olive Oil 1L,108,122,88.5%,108/122 pincodes
Kerala,Jivo Extra Light Olive Oil 1L,0,56,0%,0/56 pincodes
Kerala,Jivo Canola Cold Pressed Edible Oil 1L,0,56,0%,0/56 pincodes
Kerala,Jivo Pomace Olive Oil 1L,0,56,0%,0/56 pincodes
Madhya Pradesh,Jivo Extra Light Olive Oil 1L,0,11,0%,0/11 pincodes
Madhya Pradesh,Jivo Canola Cold Pressed Edible Oil 1L,0,11,0%,0/11 pincodes
Madhya Pradesh,Jivo Pomace Olive Oil 1L,0,11,0%,0/11 pincodes
Maharashtra,Jivo Extra Light Olive Oil 1L,0,175,0%,0/175 pincodes
Maharashtra,Jivo Canola Cold Pressed Edible Oil 1L,82,175,46.9%,82/175 pincodes
Maharashtra,Jivo Pomace Olive Oil 1L,123,175,70.3%,123/175 pincodes
Odisha,Jivo Extra Light Olive Oil 1L,0,31,0%,0/31 pincodes
Odisha,Jivo Canola Cold Pressed Edible Oil 1L,0,31,0%,0/31 pincodes
Odisha,Jivo Pomace Olive Oil 1L,0,31,0%,0/31 pincodes
Rajasthan,Jivo Extra Light Olive Oil 1L,0,29,0%,0/29 pincodes
Rajasthan,Jivo Canola Cold Pressed Edible Oil 1L,0,29,0%,0/29 pincodes
Rajasthan,Jivo Pomace Olive Oil 1L,0,29,0%,0/29 pincodes
Tamil Nadu,Jivo Extra Light Olive Oil 1L,0,97,0%,0/97 pincodes
Tamil Nadu,Jivo Canola Cold Pressed Edible Oil 1L,0,97,0%,0/97 pincodes
Tamil Nadu,Jivo Pomace Olive Oil 1L,0,97,0%,0/97 pincodes
Telangana,Jivo Extra Light Olive Oil 1L,0,36,0%,0/36 pincodes
Telangana,Jivo Canola Cold Pressed Edible Oil 1L,0,36,0%,0/36 pincodes
Telangana,Jivo Pomace Olive Oil 1L,0,36,0%,0/36 pincodes
Uttar Pradesh,Jivo Extra Light Olive Oil 1L,8,37,21.6%,8/37 pincodes
Uttar Pradesh,Jivo Canola Cold Pressed Edible Oil 1L,8,37,21.6%,8/37 pincodes
Uttar Pradesh,Jivo Pomace Olive Oil 1L,8,37,21.6%,8/37 pincodes
West Bengal,Jivo Extra Light Olive Oil 1L,0,57,0%,0/57 pincodes
West Bengal,Jivo Canola Cold Pressed Edible Oil 1L,0,57,0%,0/57 pincodes
West Bengal,Jivo Pomace Olive Oil 1L,0,57,0%,0/57 pincodes
