Rank,City,Litres Sold
1,Delhi,5882.0
2,Gurgaon,2266.0
3,Ghaziabad,2188.0
4,Mumbai,1631.0
5,Chandigarh,872.0
6,Bengaluru,823.0
7,Ludhiana,669.0
8,Faridabad,633.0
9,Jalandhar,580.0
10,Hyderabad,570.0
11,Mohali,509.0
12,Noida,466.0
13,Bangalore,450.0
14,Amritsar,430.0
15,Kharar,327.0
16,Patiala,315.0
17,Zirakpur,291.0
18,Kolkata,245.0
19,SAS Nagar,243.0
20,Pune,239.0
21,Dehradun,238.0
22,Gurugram,222.0
23,Agra,172.0
24,Meerut,168.0
25,Panchkula,162.0
26,Khanna,135.0
27,Noida 1,127.0
28,Jammu,117.0
29,Chandigarh Tricity,112.0
30,Sonipat,111.0
31,Yamunanagar,109.0
32,Ambala,106.0
33,Bathinda,102.0
34,Chennai,101.0
35,Jaipur,95.0
36,Moradabad,94.0
37,Hoshiarpur,90.0
38,Panipat,84.0
39,New Chandigarh,81.0
40,Sangrur,76.0
41,Moga,72.0
42,Firozpur,71.0
43,Rajpura,66.0
44,Karnal,66.0
45,Rohtak,61.0
46,Saharanpur,52.0
47,Haridwar,52.0
48,Phagwara,51.0
49,Rupnagar,48.0
50,Batala,46.0
51,Sirsa,46.0
52,Sri Ganganagar,42.0
53,Kaithal,40.0
54,Kochi,37.0
55,Haldwani,37.0
56,Central Goa,36.0
57,Faridkot,36.0
58,Lucknow-Kanpur,36.0
59,Pathankot,35.0
60,Muzaffarnagar,32.0
61,Bahadurgarh,31.0
62,Rudrapur,31.0
63,Solan,30.0
64,Barnala,30.0
65,Nagpur,30.0
66,Mathura,28.0
67,Abohar,27.0
68,Ahmedabad,26.0
69,Nashik,26.0
70,Pinjore,26.0
71,Surat,26.0
72,Visakhapatnam,25.0
73,Bhubaneswar,23.0
74,Warangal,23.0
75,Vizag,23.0
76,Dharamshala,23.0
77,Lucknow,21.0
78,Thiruvananthapuram,21.0
79,Vijayawada,21.0
80,Una (Himachal Pradesh),21.0
81,Kapurthala,20.0
82,Kurukshetra,20.0
83,Vadodara,20.0
84,Indore,19.0
85,Kota,19.0
86,Bhiwadi,18.0
87,Ranchi,16.0
88,Kashipur,16.0
89,Palwal,16.0
90,Roorkee,16.0
91,Raipur,15.0
92,Firozabad,14.0
93,Patna,14.0
94,Rishikesh,13.0
95,Baddi,13.0
96,Tarn Taran Sahib,12.0
97,Hisar,12.0
98,Noida Rural,12.0
99,Anand,12.0
100,Aligarh,11.0
101,Jind,11.0
102,Rampur (Uttar Pradesh),11.0
103,Bhiwani,10.0
104,Muktsar,10.0
105,Mangalore,10.0
106,Allahabad,10.0
107,BIJNOR,10.0
108,Amroha,10.0
109,Kotdwar,10.0
110,Belgaum,9.0
111,Sundar Nagar,9.0
112,Rewari,9.0
113,Bharatpur,8.0
114,Manali,8.0
115,Mysore,8.0
116,Bhubaneshwar-Cuttack,8.0
117,DehraDun,8.0
118,Tirupati,8.0
119,Latur,8.0
120,Budaun,8.0
121,Bhopal,7.0
122,Hapur,7.0
123,Bareilly,7.0
124,Guntur,7.0
125,Kolhapur,6.0
126,Aurangabad (Maharashtra),6.0
127,Vellore,6.0
128,Hansi,6.0
129,Kanpur,6.0
130,Ajmer,6.0
131,Pondicherry,5.0
132,Mangaluru,5.0
133,Kolkata Rural,5.0
134,Rajkot,5.0
135,Aurangabad,5.0
136,Jamshedpur,5.0
137,Shamli,5.0
138,Jhunjhunu,5.0
139,Khammam,4.0
140,Guwahati,4.0
141,Rajahmundry,4.0
142,Gwalior,4.0
143,Cuttack,4.0
144,Ahmednagar,3.0
145,Anantapur,3.0
146,Siliguri,3.0
147,Muzaffarpur,3.0
148,Muradnagar,3.0
149,Hamirpur (Himachal Pradesh),3.0
150,Coimbatore,3.0
151,Nellore,2.0
152,HATHRAS,2.0
153,Kangra,2.0
154,Manipal,2.0
155,Vijayawada-Guntur,2.0
156,Davanagere,2.0
157,Kollam,2.0
158,Eluru,2.0
159,Thiruvalla,2.0
160,Tirunelveli,2.0
161,Bhilai,2.0
162,Thoothukudi,2.0
163,Tirupur,2.0
164,Karimnagar,2.0
165,Modinagar,2.0
166,Charkhi Dadri,2.0
167,Salem,2.0
168,Jabalpur,2.0
169,Thrissur,2.0
170,Kozhikode,2.0
171,Palakkad,2.0
172,Shimoga,2.0
173,Udaipur,2.0
174,Jodhpur,1.0
175,Berhampur,1.0
176,Sangli,1.0
177,Baraut,1.0
178,Khurja,1.0
179,Hassan,1.0
180,Shikohabad,1.0
181,Tumkur,1.0
182,Gurgaon-Faridabad,1.0
183,Nagercoil,1.0
184,Karaikkudi,1.0
185,Ongole,1.0
186,Shivamogga,1.0
187,Alappuzha,1.0
188,Jhajjar,1.0
189,Kottayam,1.0
190,Gorakhpur,1.0
191,Vapi,1.0
192,Kannur,1.0
193,Bidar,1.0
194,Kurali,1.0
195,Chikkamagaluru,1.0
196,Dharwad,1.0
197,Vikasnagar,1.0
198,Solapur,1.0
199,Kakinada,1.0
200,Varanasi,1.0
