Rank,City,Litres Sold
1,Delhi,6897.0
2,Gurgaon,2883.0
3,Ghaziabad,2622.0
4,Mumbai,1516.0
5,Chandigarh,974.0
6,Faridabad,922.0
7,Ludhiana,819.0
8,Bengaluru,805.0
9,Jalandhar,728.0
10,Mohali,689.0
11,Amritsar,607.0
12,Noida,581.0
13,Hyderabad,566.0
14,Bangalore,456.0
15,Kharar,438.0
16,Zirakpur,398.0
17,Patiala,335.0
18,Dehradun,324.0
19,Gurugram,319.0
20,Panchkula,317.0
21,Pune,230.0
22,Kolkata,213.0
23,SAS Nagar,201.0
24,Agra,184.0
25,Bathinda,176.0
26,Chandigarh Tricity,176.0
27,Noida 1,175.0
28,Chennai,137.0
29,Meerut,136.0
30,Jammu,128.0
31,Khanna,121.0
32,Ambala,115.0
33,Panipat,115.0
34,Moradabad,114.0
35,Firozpur,114.0
36,Sonipat,111.0
37,Hoshiarpur,105.0
38,Yamunanagar,93.0
39,New Chandigarh,90.0
40,Karnal,78.0
41,Moga,73.0
42,Sangrur,67.0
43,Rajpura,62.0
44,Lucknow,61.0
45,Barnala,60.0
46,Batala,58.0
47,Rupnagar,57.0
48,Phagwara,57.0
49,Haldwani,56.0
50,Haridwar,52.0
51,Faridkot,50.0
52,Central Goa,49.0
53,Jaipur,49.0
54,Ahmedabad,48.0
55,Kochi,46.0
56,Noida Rural,46.0
57,Jind,46.0
58,Sri Ganganagar,45.0
59,Kaithal,45.0
60,Mathura,42.0
61,Sirsa,42.0
62,Rohtak,41.0
63,Kapurthala,39.0
64,Pinjore,38.0
65,Lucknow-Kanpur,36.0
66,Pathankot,36.0
67,Saharanpur,36.0
68,Nagpur,33.0
69,Bhiwadi,33.0
70,Vadodara,32.0
71,Baddi,30.0
72,Hisar,28.0
73,Rudrapur,28.0
74,Vizag,27.0
75,Dharamshala,25.0
76,Coimbatore,23.0
77,Surat,23.0
78,Raipur,23.0
79,Bahadurgarh,23.0
80,Roorkee,22.0
81,Muzaffarnagar,22.0
82,Solan,20.0
83,Kurukshetra,20.0
84,Palwal,20.0
85,Thiruvananthapuram,19.0
86,Bhopal,19.0
87,Rishikesh,19.0
88,Guntur,18.0
89,Visakhapatnam,18.0
90,Vijayawada,17.0
91,Una (Himachal Pradesh),17.0
92,Kashipur,17.0
93,Amroha,17.0
94,Bhubaneswar,16.0
95,Allahabad,16.0
96,Firozabad,16.0
97,DehraDun,15.0
98,Nashik,15.0
99,Shamli,15.0
100,Ranchi,13.0
101,Rewari,13.0
102,Hapur,13.0
103,Patna,12.0
104,Aurangabad,10.0
105,Bhubaneshwar-Cuttack,10.0
106,Bharatpur,10.0
107,Pilibhit,10.0
108,Warangal,9.0
109,Guwahati,9.0
110,Belgaum,9.0
111,Ajmer,8.0
112,Mangalore,8.0
113,Siliguri,7.0
114,Khammam,7.0
115,Sundar Nagar,7.0
116,Kota,7.0
117,Karur,6.0
118,Indore,6.0
119,Bhiwani,6.0
120,Abohar,6.0
121,Gorakhpur,6.0
122,Anand,6.0
123,Ujjain,6.0
124,Rajahmundry,5.0
125,Thrissur,5.0
126,Modinagar,5.0
127,Mysore,5.0
128,BIJNOR,5.0
129,Una,5.0
130,Hansi,5.0
131,Etah,5.0
132,Nagercoil,4.0
133,Kurnool,4.0
134,Varanasi,4.0
135,Gwalior,4.0
136,Rampur (Uttar Pradesh),4.0
137,Tirupati,3.0
138,Jamshedpur,3.0
139,Aurangabad (Maharashtra),3.0
140,Ballari,3.0
141,Pondicherry,3.0
142,Hubli,3.0
143,Jabalpur,3.0
144,Aligarh,2.0
145,Shivamogga,2.0
146,Hyderabad Rural,2.0
147,Vijayawada-Guntur,2.0
148,Rajkot,2.0
149,Mangaluru,2.0
150,Tirupur,2.0
151,Ahmednagar,2.0
152,Hamirpur (Himachal Pradesh),2.0
153,Rampur,2.0
154,Satara,2.0
155,Muzaffarpur,2.0
156,Bareilly,2.0
157,Thiruvalla,2.0
158,Kanpur,2.0
159,Latur,2.0
160,Nizamabad,1.0
161,Thanjavur,1.0
162,Kolhapur,1.0
163,Berhampur,1.0
164,Kolkata Rural,1.0
165,Vizag Rural,1.0
166,Cuttack,1.0
167,Erode,1.0
168,Kozhikode,1.0
169,Kollam,1.0
170,Bikaner,1.0
171,Hamirpur,1.0
172,Jalgaon,1.0
173,Vellore,1.0
174,Charkhi Dadri,1.0
175,Baraut,1.0
176,Mandya,1.0
177,Budaun,1.0
178,Gulbarga,1.0
179,Tarn Taran Sahib,1.0
180,Muktsar,1.0
181,Karimnagar,1.0
182,Salem,1.0
183,Kakinada,1.0
184,Manipal,1.0
185,Kanchipuram,1.0
186,Kannur,1.0
187,Vizianagaram,1.0
188,Udaipur,1.0
189,Madurai,1.0
