State,SKU,Availability
Andhra Pradesh,Jivo Extra Light Olive Oil 1L,0/5 pincodes
Andhra Pradesh,Jivo Canola Cold Press Edible Oil 1L,0/5 pincodes
Andhra Pradesh,Jivo Pomace Olive Oil 1L,0/5 pincodes
Chandigarh,Jivo Extra Light Olive Oil 1L,18/18 pincodes
Chandigarh,Jivo Canola Cold Press Edible Oil 1L,0/18 pincodes
Chandigarh,Jivo Pomace Olive Oil 1L,18/18 pincodes
Delhi,Jivo Extra Light Olive Oil 1L,57/63 pincodes
Delhi,Jivo Canola Cold Press Edible Oil 1L,0/63 pincodes
Delhi,Jivo Pomace Olive Oil 1L,46/63 pincodes
Gujarat,Jivo Extra Light Olive Oil 1L,0/40 pincodes
Gujarat,Jivo Canola Cold Press Edible Oil 1L,0/40 pincodes
Gujarat,Jivo Pomace Olive Oil 1L,0/40 pincodes
Haryana,Jivo Extra Light Olive Oil 1L,18/18 pincodes
Haryana,Jivo Canola Cold Press Edible Oil 1L,0/18 pincodes
Haryana,Jivo Pomace Olive Oil 1L,18/18 pincodes
Karnataka,Jivo Extra Light Olive Oil 1L,73/107 pincodes
Karnataka,Jivo Canola Cold Press Edible Oil 1L,0/107 pincodes
Karnataka,Jivo Pomace Olive Oil 1L,82/107 pincodes
Kerala,Jivo Extra Light Olive Oil 1L,0/33 pincodes
Kerala,Jivo Canola Cold Press Edible Oil 1L,0/33 pincodes
Kerala,Jivo Pomace Olive Oil 1L,0/33 pincodes
Madhya Pradesh,Jivo Extra Light Olive Oil 1L,0/12 pincodes
Madhya Pradesh,Jivo Canola Cold Press Edible Oil 1L,0/12 pincodes
Madhya Pradesh,Jivo Pomace Olive Oil 1L,0/12 pincodes
Maharashtra,Jivo Extra Light Olive Oil 1L,93/137 pincodes
Maharashtra,Jivo Canola Cold Press Edible Oil 1L,0/137 pincodes
Maharashtra,Jivo Pomace Olive Oil 1L,102/137 pincodes
Rajasthan,Jivo Extra Light Olive Oil 1L,0/20 pincodes
Rajasthan,Jivo Canola Cold Press Edible Oil 1L,0/20 pincodes
Rajasthan,Jivo Pomace Olive Oil 1L,0/20 pincodes
Tamil Nadu,Jivo Extra Light Olive Oil 1L,0/83 pincodes
Tamil Nadu,Jivo Canola Cold Press Edible Oil 1L,0/83 pincodes
Tamil Nadu,Jivo Pomace Olive Oil 1L,0/83 pincodes
Telangana,Jivo Extra Light Olive Oil 1L,21/35 pincodes
Telangana,Jivo Canola Cold Press Edible Oil 1L,0/35 pincodes
Telangana,Jivo Pomace Olive Oil 1L,32/35 pincodes
Uttar Pradesh,Jivo Extra Light Olive Oil 1L,2/30 pincodes
Uttar Pradesh,Jivo Canola Cold Press Edible Oil 1L,0/30 pincodes
Uttar Pradesh,Jivo Pomace Olive Oil 1L,2/30 pincodes
West Bengal,Jivo Extra Light Olive Oil 1L,0/44 pincodes
West Bengal,Jivo Canola Cold Press Edible Oil 1L,0/44 pincodes
West Bengal,Jivo Pomace Olive Oil 1L,0/44 pincodes
