City,Total checked pins,Zepto serviceable pins,Zepto serviceability %,Jivo captured pins,Serviceable no Jivo,Not serviceable pins
Mumbai,89,81,91.0%,81,0,8
Bengaluru,117,78,66.7%,78,0,39
Delhi,97,63,64.9%,63,0,34
Chennai,83,53,63.9%,53,0,30
Kolkata,74,44,59.5%,44,0,30
Hyderabad,60,35,58.3%,35,0,25
Kochi,143,33,23.1%,33,0,110
Coimbatore,107,30,28.0%,30,0,77
Mysuru,68,29,42.6%,29,0,39
Pune,145,29,20.0%,29,0,116
Lucknow,43,27,62.8%,27,0,16
Ahmedabad,81,25,30.9%,25,0,56
Nagpur,63,21,33.3%,21,0,42
Jaipur,84,20,23.8%,20,0,64
Chandigarh,25,18,72.0%,18,0,7
Gurugram,29,18,62.1%,18,0,11
Indore,30,12,40.0%,12,0,18
Surat,79,11,13.9%,11,0,68
Nashik,77,6,7.8%,6,0,71
Vijayawada,59,5,8.5%,5,0,54
Vadodara,61,4,6.6%,4,0,57
Noida,28,3,10.7%,3,0,25
Bhubaneswar,69,0,0.0%,0,0,69
Thiruvananthapuram,133,0,0.0%,0,0,133
Visakhapatnam,41,0,0.0%,0,0,41
TOTAL,1885,645,34.2%,645,0,1240
