SKU,Mumbai,Bengaluru,Delhi,Chennai,Kolkata,Hyderabad,Kochi,Coimbatore,Mysuru,Pune,Lucknow,Ahmedabad,Nagpur,Jaipur,Chandigarh,Gurugram,Indore,Surat,Nashik,Vijayawada,Vadodara,Noida,Bhubaneswar,Thiruvananthapuram,Visakhapatnam,Total in-stock pins,Total serviceable pins
jivo-canola-cold-pressed-edible-oil-cooking-oil-5l,62/81,68/78,33/63,17/53,5/44,20/35,0/33,0/30,0/29,20/29,1/27,0/25,0/21,0/20,4/18,14/18,0/12,0/11,0/6,0/5,0/4,3/3,0/0,0/0,0/0,247,645
jivo-cold-press-canola-oil-combo-bottle-2l,38/81,50/78,54/63,0/53,0/44,0/35,0/33,0/30,0/29,19/29,0/27,0/25,0/21,0/20,16/18,17/18,0/12,0/11,0/6,0/5,0/4,0/3,0/0,0/0,0/0,194,645
jivo-daily-pomace-olive-oil-2l,58/81,9/78,55/63,23/53,0/44,20/35,0/33,0/30,0/29,20/29,1/27,0/25,0/21,0/20,4/18,17/18,0/12,0/11,0/6,0/5,0/4,3/3,0/0,0/0,0/0,210,645
jivo-extra-light-olive-oil-1l,56/81,75/78,52/63,0/53,0/44,21/35,0/33,0/30,0/29,27/29,0/27,0/25,3/21,0/20,18/18,18/18,0/12,0/11,0/6,0/5,0/4,2/3,0/0,0/0,0/0,272,645
jivo-extra-light-olive-oil-2l,64/81,61/78,59/63,16/53,0/44,0/35,0/33,0/30,0/29,21/29,1/27,0/25,0/21,0/20,0/18,17/18,0/12,0/11,0/6,0/5,0/4,3/3,0/0,0/0,0/0,242,645
jivo-extra-light-olive-oil-combo-2l,39/81,42/78,34/63,0/53,0/44,11/35,0/33,0/30,0/29,12/29,0/27,0/25,0/21,0/20,13/18,14/18,0/12,0/11,0/6,0/5,0/4,2/3,0/0,0/0,0/0,167,645
jivo-extra-light-olive-oil-combo-4l,36/81,53/78,49/63,12/53,0/44,0/35,0/33,0/30,0/29,9/29,0/27,0/25,0/21,0/20,0/18,11/18,0/12,0/11,0/6,0/5,0/4,0/3,0/0,0/0,0/0,170,645
jivo-extra-virgin-cooking-olive-oil-5l,9/81,8/78,2/63,0/53,0/44,0/35,13/33,0/30,0/29,7/29,0/27,0/25,0/21,0/20,0/18,0/18,0/12,0/11,0/6,0/5,0/4,0/3,0/0,0/0,0/0,39,645
jivo-extra-virgin-olive-oil-bottle-1l,71/81,58/78,59/63,4/53,0/44,0/35,0/33,0/30,0/29,0/29,0/27,0/25,0/21,0/20,8/18,17/18,0/12,0/11,0/6,0/5,0/4,3/3,0/0,0/0,0/0,220,645
jivo-gold-refined-oil-blend-of-rice-bran-oil-and-sunflower-oil-1l,0/81,0/78,0/63,0/53,0/44,0/35,0/33,0/30,0/29,0/29,0/27,0/25,0/21,0/20,0/18,0/18,0/12,0/11,0/6,0/5,0/4,0/3,0/0,0/0,0/0,0,645
jivo-gold-refined-oil-blend-of-rice-bran-oil-and-sunflower-oil-5l,0/81,0/78,0/63,0/53,0/44,0/35,0/33,0/30,0/29,0/29,0/27,0/25,0/21,0/20,0/18,0/18,0/12,0/11,0/6,0/5,0/4,0/3,0/0,0/0,0/0,0,645
jivo-groundnut-cold-pressed-oil-healthy-cooking-oil-1l,72/81,74/78,57/63,44/53,4/44,25/35,33/33,11/30,28/29,11/29,0/27,0/25,8/21,0/20,0/18,18/18,0/12,0/11,4/6,2/5,0/4,3/3,0/0,0/0,0/0,394,645
jivo-groundnut-peanut-cold-pressed-heathy-cooking-oil-200ml,54/81,77/78,5/63,32/53,0/44,35/35,11/33,8/30,29/29,1/29,0/27,24/25,21/21,16/20,0/18,0/18,12/12,11/11,3/6,5/5,4/4,0/3,0/0,0/0,0/0,348,645
jivo-kachi-ghani-mustard-cold-pressed-oil-healthy-cooking-oil-1l,76/81,78/78,58/63,23/53,17/44,32/35,33/33,27/30,29/29,19/29,0/27,0/25,11/21,0/20,16/18,18/18,0/12,0/11,5/6,5/5,0/4,3/3,0/0,0/0,0/0,450,645
