SKU,Mumbai,Bengaluru,Delhi,Chennai,Kolkata,Hyderabad,Kochi,Coimbatore,Mysuru,Pune,Lucknow,Ahmedabad,Nagpur,Jaipur,Chandigarh,Gurugram,Indore,Surat,Nashik,Vijayawada,Vadodara,Noida,Bhubaneswar,Thiruvananthapuram,Visakhapatnam,Total listed/captured pins,Total serviceable pins,Overall listed %
jivo-canola-cold-pressed-edible-oil-cooking-oil-5l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-cold-press-canola-oil-combo-bottle-2l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-daily-pomace-olive-oil-2l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-extra-light-olive-oil-1l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-extra-light-olive-oil-2l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-extra-light-olive-oil-combo-2l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-extra-light-olive-oil-combo-4l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-extra-virgin-cooking-olive-oil-5l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-extra-virgin-olive-oil-bottle-1l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
jivo-gold-refined-oil-blend-of-rice-bran-oil-and-sunflower-oil-1l,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,N/A,N/A,645,645,100.0%
