SKU,Mumbai,Bengaluru,Delhi,Chennai,Kolkata,Hyderabad,Kochi,Coimbatore,Mysuru,Pune,Lucknow,Ahmedabad,Nagpur,Jaipur,Chandigarh,Gurugram,Indore,Surat,Nashik,Vijayawada,Vadodara,Noida,Bhubaneswar,Thiruvananthapuram,Visakhapatnam,Total in-stock pins,Total serviceable pins,Overall %
jivo-canola-cold-pressed-edible-oil-cooking-oil-5l,76.5%,87.2%,52.4%,32.1%,11.4%,57.1%,0.0%,0.0%,0.0%,69.0%,3.7%,0.0%,0.0%,0.0%,22.2%,77.8%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,N/A,N/A,N/A,247,645,38.3%
jivo-cold-press-canola-oil-combo-bottle-2l,46.9%,64.1%,85.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,65.5%,0.0%,0.0%,0.0%,0.0%,88.9%,94.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,N/A,N/A,194,645,30.1%
jivo-daily-pomace-olive-oil-2l,71.6%,11.5%,87.3%,43.4%,0.0%,57.1%,0.0%,0.0%,0.0%,69.0%,3.7%,0.0%,0.0%,0.0%,22.2%,94.4%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,N/A,N/A,N/A,210,645,32.6%
jivo-extra-light-olive-oil-1l,69.1%,96.2%,82.5%,0.0%,0.0%,60.0%,0.0%,0.0%,0.0%,93.1%,0.0%,0.0%,14.3%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,N/A,N/A,N/A,272,645,42.2%
jivo-extra-light-olive-oil-2l,79.0%,78.2%,93.7%,30.2%,0.0%,0.0%,0.0%,0.0%,0.0%,72.4%,3.7%,0.0%,0.0%,0.0%,0.0%,94.4%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,N/A,N/A,N/A,242,645,37.5%
jivo-extra-light-olive-oil-combo-2l,48.1%,53.8%,54.0%,0.0%,0.0%,31.4%,0.0%,0.0%,0.0%,41.4%,0.0%,0.0%,0.0%,0.0%,72.2%,77.8%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,N/A,N/A,N/A,167,645,25.9%
jivo-extra-light-olive-oil-combo-4l,44.4%,67.9%,77.8%,22.6%,0.0%,0.0%,0.0%,0.0%,0.0%,31.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,N/A,N/A,170,645,26.4%
jivo-extra-virgin-cooking-olive-oil-5l,11.1%,10.3%,3.2%,0.0%,0.0%,0.0%,39.4%,0.0%,0.0%,24.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,N/A,N/A,39,645,6.0%
jivo-extra-virgin-olive-oil-bottle-1l,87.7%,74.4%,93.7%,7.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,94.4%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,N/A,N/A,N/A,220,645,34.1%
jivo-gold-refined-oil-blend-of-rice-bran-oil-and-sunflower-oil-1l,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,N/A,N/A,0,645,0.0%
